sentiment,trades,total_pnl,avg_pnl,win_rate,avg_size,long_ratio
Fear,7038,1783625.519205,253.42789417519182,0.8491048593350383,5959.7149048025,0.47939755612389884
Neutral,1671,74656.74198,44.67788269299821,0.8162776780371035,3649.992842609216,0.2722920406941951
Greed,9220,1766526.208212,191.59720262603037,0.8709327548806941,4392.3338047722345,0.3579175704989154
